,,
State Code (FIPS),County Code (FIPS),Area Name (including legal/statistical area description)
05,000,Emerson town
05,000,Emmet city
05,000,England city
05,000,Enola town
05,000,Etowah town
05,000,Eudora city
05,000,Eureka Springs city
05,000,Evening Shade city
05,000,Everton town
05,000,Fairfield Bay city
05,000,Fargo town
05,000,Farmington city
05,000,Fayetteville city
05,000,Felsenthal town
05,000,Fifty-Six city
05,000,Fisher city
05,000,Flippin city
05,000,Fordyce city
05,000,Foreman city
05,000,Forrest City city
05,000,Fort Smith city
05,000,Fouke city
05,000,Fountain Hill town
05,000,Fountain Lake town
05,000,Fourche town
05,000,Franklin town
05,000,Fredonia (Biscoe) town
05,000,Friendship town
05,000,Fulton town
05,000,Garfield town
05,000,Garland town
05,000,Garner town
05,000,Gassville city
05,000,Gateway town
05,000,Gentry city
05,000,Georgetown town
05,000,Gilbert town
05,000,Gillett city
05,000,Gillham town
05,000,Gilmore city
05,000,Glenwood city
05,000,Goshen town
05,000,Gosnell city
05,000,Gould city
05,000,Grady city
05,000,Grannis city
05,000,Gravette city
05,000,Greenbrier city
05,000,Green Forest city
05,000,Greenland city
05,000,Greenway city
05,000,Greenwood city
05,000,Greers Ferry city
05,000,Griffithville town
05,000,Grubbs city
05,000,Guion town
05,000,Gum Springs town
05,000,Gurdon city
05,000,Guy city
05,000,Hackett city
05,000,Hamburg city
05,000,Hampton city
05,000,Hardy city
05,000,Harrell town
05,000,Harrisburg city
05,000,Harrison city
05,000,Hartford city
05,000,Hartman city
05,000,Haskell city
05,000,Hatfield town
05,000,Havana city
05,000,Haynes town
05,000,Hazen city
05,000,Heber Springs city
05,000,Hector town
05,000,Helena-West Helena city
05,000,Hermitage city
05,000,Hickory Ridge city
05,000,Higden town
05,000,Higginson town
05,000,Highfill town
05,000,Highland city
05,000,Hindsville town
05,000,Holland city
05,000,Holly Grove city
05,000,Hope city
05,000,Horatio city
05,000,Horseshoe Bend city
05,000,Horseshoe Lake town
05,000,Hot Springs city
05,000,Houston town
05,000,Hoxie city
05,000,Hughes city
05,000,Humnoke city
05,000,Humphrey city
05,000,Hunter town
05,000,Huntington city
05,000,Huntsville city
05,000,Huttig city
05,000,Imboden town
05,000,Jacksonport town
05,000,Jacksonville city
05,000,Jasper city
05,000,Jennette town
05,000,Jericho town
05,000,Jerome town
05,000,Johnson city
05,000,Joiner city
05,000,Jonesboro city
05,000,Judsonia city
05,000,Junction City city
05,000,Keiser city
05,000,Kensett city
05,000,Keo town
05,000,Kibler city
05,000,Kingsland city
05,000,Knobel city
05,000,Knoxville town
05,000,Lafe town
05,000,LaGrange town
05,000,Lake City city
05,000,Lakeview city
05,000,Lake View city
05,000,Lake Village city
05,000,Lamar city
05,000,Lavaca city
05,000,Leachville city
05,000,Lead Hill town
05,000,Leola town
05,000,Lepanto city
05,000,Leslie city
05,000,Letona town
05,000,Lewisville city
05,000,Lexa town
05,000,Lincoln city
05,000,Little Flock city
05,000,Little Rock city
05,000,Lockesburg city
05,000,London city
05,000,Lonoke city
05,000,Lonsdale town
05,000,Louann town
05,000,Lowell city
05,000,Luxora city
05,000,Lynn town
05,000,McCaskill town
05,000,McCrory city
05,000,McDougal town
05,000,McGehee city
05,000,McNab town
05,000,McNeil city
05,000,McRae city
05,000,Madison city
05,000,Magazine city
05,000,Magness town
05,000,Magnolia city
05,000,Malvern city
05,000,Mammoth Spring city
05,000,Manila city
05,000,Mansfield city
05,000,Marianna city
05,000,Marie town
05,000,Marion city
05,000,Marked Tree city
05,000,Marmaduke city
05,000,Marshall city
05,000,Marvell city
05,000,Maumelle city
05,000,Mayflower city
05,000,Maynard town
05,000,Melbourne city
05,000,Mena city
05,000,Menifee town
05,000,Midland town
05,000,Midway town
05,000,Mineral Springs city
05,000,Minturn town
05,000,Mitchellville city
05,000,Monette city
05,000,Monticello city
05,000,Montrose city
05,000,Moorefield town
05,000,Moro town
05,000,Morrilton city
05,000,Morrison Bluff town
05,000,Mountainburg city
05,000,Mountain Home city
05,000,Mountain Pine city
05,000,Mountain View city
05,000,Mount Ida city
05,000,Mount Pleasant town
05,000,Mount Vernon town
05,000,Mulberry city
05,000,Murfreesboro city
05,000,Nashville city
05,000,Newark city
05,000,Newport city
05,000,Nimmons town
05,000,Norfork city
05,000,Norman town
05,000,Norphlet city
05,000,North Little Rock city
05,000,Oak Grove town
05,000,Oak Grove Heights town
05,000,Oakhaven town
05,000,Oden town
05,000,Ogden city
05,000,Oil Trough town
05,000,O'Kean town
05,000,Okolona town
05,000,Ola city
05,000,Omaha town
05,000,Oppelo city
05,000,Osceola city
05,000,Oxford city
05,000,Ozan town
05,000,Ozark city
05,000,Palestine city
05,000,Pangburn city
05,000,Paragould city
05,000,Paris city
05,000,Parkdale city
05,000,Parkin city
05,000,Patmos town
05,000,Patterson city
05,000,Peach Orchard city
05,000,Pea Ridge city
05,000,Perla town
05,000,Perry town
05,000,Perrytown town
05,000,Perryville city
05,000,Piggott city
05,000,Pindall town
05,000,Pine Bluff city
05,000,Pineville town
05,000,Plainview city
05,000,Pleasant Plains town
05,000,Plumerville city
05,000,Pocahontas city
05,000,Pollard city
05,000,Portia town
05,000,Portland city
05,000,Pottsville city
05,000,Powhatan town
05,000,Poyen town
05,000,Prairie Grove city
05,000,Prattsville town
05,000,Prescott city
05,000,Pyatt town
05,000,Quitman city
05,000,Ratcliff city
05,000,Ravenden town
05,000,Ravenden Springs town
